patient_id,name,ssn,phone,email,diagnosis_code,bill_amount
P-0000,Patient 0,838-34-9970,555-0100,patient0@example.com,A01,18864
P-0001,Patient 1,501-86-3941,555-0101,patient1@example.com,A01,4514
P-0002,Patient 2,428-46-1580,555-0102,patient2@example.com,A01,15847
P-0003,Patient 3,847-52-9577,555-0103,patient3@example.com,A01,2106
P-0004,Patient 4,770-52-2726,555-0104,patient4@example.com,A01,6114
P-0005,Patient 5,962-93-6019,555-0105,patient5@example.com,A01,2302
P-0006,Patient 6,631-48-5216,555-0106,patient6@example.com,A01,10133
P-0007,Patient 7,122-98-3053,555-0107,patient7@example.com,A01,4302
P-0008,Patient 8,820-93-4872,555-0108,patient8@example.com,A01,28642
P-0009,Patient 9,159-99-9055,555-0109,patient9@example.com,A01,35714
P-0010,Patient 10,246-23-3935,555-0110,patient10@example.com,A01,37118
P-0011,Patient 11,965-45-8324,555-0111,patient11@example.com,A01,9893
P-0012,Patient 12,470-35-1734,555-0112,patient12@example.com,A01,36437
P-0013,Patient 13,742-28-5921,555-0113,patient13@example.com,A01,12419
P-0014,Patient 14,150-23-4922,555-0114,patient14@example.com,A01,22390
P-0015,Patient 15,126-48-4797,555-0115,patient15@example.com,A01,12516
P-0016,Patient 16,945-52-7817,555-0116,patient16@example.com,A01,13672
P-0017,Patient 17,592-78-4125,555-0117,patient17@example.com,A01,18014
P-0018,Patient 18,639-31-9538,555-0118,patient18@example.com,A01,34700
P-0019,Patient 19,650-44-3859,555-0119,patient19@example.com,A01,8619
P-0020,Patient 20,155-69-6941,555-0120,patient20@example.com,A01,17094
P-0021,Patient 21,874-62-2079,555-0121,patient21@example.com,A01,38604
P-0022,Patient 22,650-98-6845,555-0122,patient22@example.com,A01,33001
P-0023,Patient 23,793-64-9320,555-0123,patient23@example.com,A01,36073
P-0024,Patient 24,477-24-1475,555-0124,patient24@example.com,A01,143
P-0025,Patient 25,715-40-6409,555-0125,patient25@example.com,A01,26407
P-0026,Patient 26,148-46-4899,555-0126,patient26@example.com,A01,12382
P-0027,Patient 27,518-45-8493,555-0127,patient27@example.com,A01,18579
P-0028,Patient 28,620-51-3801,555-0128,patient28@example.com,A01,26895
P-0029,Patient 29,255-68-2147,555-0129,patient29@example.com,A01,18393
P-0030,Patient 30,116-30-1189,555-0130,patient30@example.com,A01,20617
P-0031,Patient 31,917-25-9713,555-0131,patient31@example.com,A01,22492
P-0032,Patient 32,654-39-5765,555-0132,patient32@example.com,A01,1538
P-0033,Patient 33,685-54-3347,555-0133,patient33@example.com,A01,20751
P-0034,Patient 34,861-36-7145,555-0134,patient34@example.com,A01,45943
P-0035,Patient 35,996-53-2149,555-0135,patient35@example.com,A01,21819
P-0036,Patient 36,107-25-2636,555-0136,patient36@example.com,A01,49740
P-0037,Patient 37,975-58-1040,555-0137,patient37@example.com,A01,5674
P-0038,Patient 38,146-38-2339,555-0138,patient38@example.com,A01,37594
P-0039,Patient 39,248-49-6999,555-0139,patient39@example.com,A01,33071
P-0040,Patient 40,568-33-8774,555-0140,patient40@example.com,A01,12776
P-0041,Patient 41,400-18-4752,555-0141,patient41@example.com,A01,37858
P-0042,Patient 42,694-77-5361,555-0142,patient42@example.com,A01,35549
P-0043,Patient 43,606-72-5463,555-0143,patient43@example.com,A01,28187
P-0044,Patient 44,927-27-7840,555-0144,patient44@example.com,A01,4517
P-0045,Patient 45,387-15-9611,555-0145,patient45@example.com,A01,24975
P-0046,Patient 46,303-47-5215,555-0146,patient46@example.com,A01,20800
P-0047,Patient 47,591-49-2912,555-0147,patient47@example.com,A01,44771
P-0048,Patient 48,740-84-5864,555-0148,patient48@example.com,A01,14389
P-0049,Patient 49,357-48-9620,555-0149,patient49@example.com,A01,1751
P-0050,Patient 50,500-95-3297,555-0150,patient50@example.com,A01,37807
P-0051,Patient 51,321-29-9420,555-0151,patient51@example.com,A01,37303
P-0052,Patient 52,195-55-7071,555-0152,patient52@example.com,A01,832
P-0053,Patient 53,905-29-6666,555-0153,patient53@example.com,A01,2206
P-0054,Patient 54,204-99-3216,555-0154,patient54@example.com,A01,15617
P-0055,Patient 55,482-35-4087,555-0155,patient55@example.com,A01,5446
P-0056,Patient 56,506-44-9126,555-0156,patient56@example.com,A01,33065
P-0057,Patient 57,655-59-3186,555-0157,patient57@example.com,A01,18729
P-0058,Patient 58,495-65-5661,555-0158,patient58@example.com,A01,49792
P-0059,Patient 59,683-29-1982,555-0159,patient59@example.com,A01,46078
P-0060,Patient 60,233-55-9714,555-0160,patient60@example.com,A01,25831
P-0061,Patient 61,206-18-4527,555-0161,patient61@example.com,A01,47984
P-0062,Patient 62,876-91-4931,555-0162,patient62@example.com,A01,40857
P-0063,Patient 63,753-61-4447,555-0163,patient63@example.com,A01,14020
P-0064,Patient 64,426-22-4740,555-0164,patient64@example.com,A01,41878
P-0065,Patient 65,656-77-7037,555-0165,patient65@example.com,A01,29162
P-0066,Patient 66,891-55-4117,555-0166,patient66@example.com,A01,2582
P-0067,Patient 67,529-88-6876,555-0167,patient67@example.com,A01,30907
P-0068,Patient 68,377-86-8423,555-0168,patient68@example.com,A01,9681
P-0069,Patient 69,805-72-6079,555-0169,patient69@example.com,A01,31531
P-0070,Patient 70,965-34-4498,555-0170,patient70@example.com,A01,36224
